filename,label,instruction,sampling_rate,duration_sec,audio_path,file_exists
2-95258-B-1.wav,rooster,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-95258-B-1.wav,True
4-99644-B-4.wav,frog,"Please classify environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-99644-B-4.wav,True
2-196688-A-8.wav,sheep,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-196688-A-8.wav,True
5-213836-B-9.wav,crow,"Please classify environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-213836-B-9.wav,True
5-156026-B-4.wav,frog,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-156026-B-4.wav,True
3-140199-A-8.wav,sheep,"Task is to categorize the sounds found in the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-140199-A-8.wav,True
3-253084-E-2.wav,pig,"Task is to categorize the sounds found in the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-253084-E-2.wav,True
2-69131-A-5.wav,cat,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-69131-A-5.wav,True
2-110010-A-5.wav,cat,"We would like you to identify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-110010-A-5.wav,True
2-108763-A-9.wav,crow,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-108763-A-9.wav,True
3-140199-B-8.wav,sheep,"Please group the sounds related to the environment accordingly. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-140199-B-8.wav,True
5-103418-A-2.wav,pig,"We require you to categorize the sounds that belong to the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-103418-A-2.wav,True
1-208757-A-2.wav,pig,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-208757-A-2.wav,True
1-56380-A-5.wav,cat,"We require you to categorize the sounds that belong to the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-56380-A-5.wav,True
5-194930-A-1.wav,rooster,"Please classify environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-194930-A-1.wav,True
1-121951-A-8.wav,sheep,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-121951-A-8.wav,True
5-242711-A-9.wav,crow,"Kindly categorize the sounds of the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-242711-A-9.wav,True
4-159426-A-9.wav,crow,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-159426-A-9.wav,True
1-34094-B-5.wav,cat,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-34094-B-5.wav,True
4-145081-A-9.wav,crow,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-145081-A-9.wav,True
3-233151-A-2.wav,pig,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-233151-A-2.wav,True
2-52085-B-4.wav,frog,"We would like you to identify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-52085-B-4.wav,True
3-110913-C-7.wav,insects,"Task is to categorize the sounds found in the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-110913-C-7.wav,True
4-181955-A-3.wav,cow,"Task is to categorize the sounds found in the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-181955-A-3.wav,True
4-208021-A-1.wav,rooster,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-208021-A-1.wav,True
3-129264-A-9.wav,crow,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-129264-A-9.wav,True
1-202111-A-3.wav,cow,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-202111-A-3.wav,True
2-109231-B-9.wav,crow,"Kindly categorize the sounds of the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-109231-B-9.wav,True
5-200339-A-1.wav,rooster,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-200339-A-1.wav,True
1-31836-A-4.wav,frog,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-31836-A-4.wav,True
2-81270-A-1.wav,rooster,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-81270-A-1.wav,True
3-70962-C-4.wav,frog,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-70962-C-4.wav,True
4-192236-A-0.wav,dog,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-192236-A-0.wav,True
3-253084-A-2.wav,pig,"We require you to categorize the sounds that belong to the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-253084-A-2.wav,True
4-234644-A-2.wav,pig,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-234644-A-2.wav,True
5-198278-B-7.wav,insects,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-198278-B-7.wav,True
1-88574-A-8.wav,sheep,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-88574-A-8.wav,True
2-127109-A-6.wav,hen,"Kindly categorize the sounds of the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-127109-A-6.wav,True
1-85362-A-0.wav,dog,"Kindly categorize the sounds of the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-85362-A-0.wav,True
3-127890-A-9.wav,crow,"Can you organize the environmental sounds by their respective categories? The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-127890-A-9.wav,True
3-126358-A-3.wav,cow,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-126358-A-3.wav,True
1-39835-A-9.wav,crow,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-39835-A-9.wav,True
1-17585-A-7.wav,insects,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-17585-A-7.wav,True
5-203128-B-0.wav,dog,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-203128-B-0.wav,True
5-198891-A-8.wav,sheep,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-198891-A-8.wav,True
1-15689-A-4.wav,frog,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-15689-A-4.wav,True
1-47819-B-5.wav,cat,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-47819-B-5.wav,True
4-133895-A-7.wav,insects,"Task is to categorize the sounds found in the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-133895-A-7.wav,True
1-80785-A-7.wav,insects,"The job is to classify the sounds associated with the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-80785-A-7.wav,True
1-16568-A-3.wav,cow,"We would like you to identify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-16568-A-3.wav,True
1-77160-A-3.wav,cow,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-77160-A-3.wav,True
5-177614-A-5.wav,cat,"Can you organize the environmental sounds by their respective categories? The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-177614-A-5.wav,True
4-164064-A-1.wav,rooster,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-164064-A-1.wav,True
3-102908-A-4.wav,frog,"Kindly categorize the sounds of the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-102908-A-4.wav,True
2-118964-A-0.wav,dog,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-118964-A-0.wav,True
3-257858-A-2.wav,pig,"Can you organize the environmental sounds by their respective categories? The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-257858-A-2.wav,True
5-214869-A-9.wav,crow,"Please classify environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-214869-A-9.wav,True
4-99193-B-4.wav,frog,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\4-99193-B-4.wav,True
5-213836-C-9.wav,crow,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-213836-C-9.wav,True
5-172639-A-5.wav,cat,"Please organize the environmental sounds into categories. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-172639-A-5.wav,True
2-103423-A-3.wav,cow,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-103423-A-3.wav,True
1-260640-C-2.wav,pig,"Kindly arrange the environmental sounds into distinct classifications. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\1-260640-C-2.wav,True
5-103416-A-2.wav,pig,"The objective is to classify the sounds originating from the environment. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-103416-A-2.wav,True
2-110614-B-8.wav,sheep,"Please classify environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\2-110614-B-8.wav,True
3-112397-A-9.wav,crow,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\3-112397-A-9.wav,True
5-248341-C-6.wav,hen,"We need to classify the environmental sounds. The answer could be dog, rooster, pig, cow, frog, cat, hen, insects, sheep, or crow.",44100,5.0,D:\DBS - Sem 2\Deep Learning\CA01\noicy_XD\data\raw\esc50\audio\5-248341-C-6.wav,True
